genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,146.0,250000000.0,954305868.0,tt0926084,0.0,"['Warner Bros. Pictures', 'Heyday Films']"
"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,98.0,165000000.0,494878759.0,tt0892769,0.0,['DreamWorks Animation']
"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,124.0,200000000.0,623933331.0,tt1228705,0.0,"['Marvel Studios', 'Paramount', 'Marvel Entertainment', 'Fairview Entertainment', 'CJ Entertainment']"
"[16, 35, 10751]",862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,81.0,30000000.0,373554033.0,tt0114709,0.0,['Pixar']
"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,148.0,160000000.0,825532764.0,tt1375666,0.0,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']"
"[12, 14, 10751]",32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,118.0,95000000.0,226497209.0,tt0814255,0.0,"['20th Century Fox', '1492 Pictures', 'Sunswept Entertainment', 'Dune Entertainment', 'Fox 2000 Pictures']"
"[28, 12, 14, 878]",19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,162.0,237000000.0,2787965087.0,tt0499549,0.0,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']"
"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,103.0,200000000.0,1066969703.0,tt0435761,0.0,['Pixar']
"[16, 10751, 35]",20352,en,Despicable Me,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,95.0,69000000.0,533679475.0,tt1323594,0.0,"['Universal Pictures', 'Illumination Entertainment']"
"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,96.0,130000000.0,321885765.0,tt1001526,0.0,"['DreamWorks Animation', 'Pacific Data Images', 'Red Hour']"
"[16, 35, 10751]",863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,92.0,90000000.0,497366869.0,tt0120363,0.0,['Pixar']
"[10751, 14, 12]",12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,108.0,200000000.0,1025467110.0,tt1014759,0.0,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']"
"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,103.0,80000000.0,274470394.0,tt1320253,0.0,"['Nimar Studios', 'Rogue Marble', 'Millennium Films', 'Nu Image']"
"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,100.0,260000000.0,592461732.0,tt0398286,0.0,"['Walt Disney Animation Studios', 'Walt Disney Pictures']"
"[27, 80]",41439,en,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,90.0,20000000.0,136150434.0,tt1477076,0.0,"['Lionsgate', 'Twisted Pictures', 'Serendipity Productions']"
"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,124.0,68000000.0,698491347.0,tt1325004,0.0,"['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']"
"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,118.0,80000000.0,157107755.0,tt1037705,0.0,"['Alcon Entertainment', 'Silver Pictures']"
